condition	Tidstämpel	Jagförstårattminmedverkanärfrivilligochanonymochattjagharfrih	Angedinkönsidentitet	Ålder	Vilkenärdenhögstaexamenduharavslutat	Angedinsysselsättning	AngeårlighushållsinkomstföreskattSek	Jagharerfarenhetnärdetkommertillfinansiellaprodukter	Jagharerfarenhetavlånochliknandefinansiellaproduktersedantidiga	Jagharenpositivsynpåminegnaekonomiskaprognosfördekommandetioå	Jagserpositivtpåminegnaekonomiskaförutsättningardennärmastet	Jagharenpositivsynpådenekonomiskaprognosenfördekommandetioåre	Jagtrorattflerafaktorerkommerattförbättraekonominpåkortochlå	Jaglitarpåbanker	Jagpåverkasavfamiljochvännernärjagtarfinansiellabeslut	Dinuppfattningomvadsomansesnormaltinomsamhälletpåverkardinaeko	Påverkardinavännerellerkollegorsåsikterdittvalavrådgivareell	Normerfrånsamhälletpåverkardinaekonomiskabeslut	Dinuppfattningomdinförmågaattbetalaavbolånetamorteringpåverk	Dinkänslaavkontrollöverdinekonomiskasituationpåverkardittbesl	Dinupplevdaförmågaatthanterariskerpåverkardittbeslutattinvest	Informationeniwebbannonsenvarinformativ	Informationeniwebbannonsenvartillhjälp	JagskulleviljaköpabolånfrånSvenskaLånebanken	Deninformationsomwebbannonsengavomproduktenvarvärdefull	Deninformationsomwebbannonsengavomhurbolånfungerarvarvärdefull	Jagskulleviljaköpadetbolånsombeskrivsiwebbannonsen	JagskulleviljaköpabolånfrånSvenskaLånebanken_A	Jagskulleförmodligenköpadenhärprodukten	Jagskulleförmodligenrekommenderadennaprodukttillenvän	DetärtroligtattjagköperettbolånfrånSvenskaLånebankennästag
control.tsv	2023-03-20 10.38.38	JA	Man	70-79	Mastersexamen	Pensionär	400.000-500.000	6.0	5.0	5.0	5.0	6.0	5.0	5.0	6.0	3.0	6.0	5.0	5.0	5.0	6.0	6.0	5.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
control.tsv	2023-03-20 10.47.22	JA	Kvinna	40-49	Kandidatexamen	Arbetande	500.000-600.000	6.0	7.0	5.0	5.0	4.0	6.0	5.0	6.0	6.0	5.0	6.0	5.0	5.0	5.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0
control.tsv	2023-03-20 11.42.59	JA	Man	30-39	Gymnasieutbildning	Arbetande	300.000-400.000	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	5.0	3.0	3.0	4.0
control.tsv	2023-03-21 12.28.23	JA	Kvinna	50-59	Gymnasieutbildning	Arbetande	300.000-400.000	3.0	5.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
control.tsv	2023-03-21 12.39.36	JA	Man	30-39	Gymnasieutbildning	Arbetande	200.000-300.000	2.0	6.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	5.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
control.tsv	2023-03-22 09.55.35	JA	Man	30-39	Kandidatexamen	Arbetande	400.000-500.000	7.0	7.0	7.0	7.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	7.0	7.0	7.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0
control.tsv	2023-03-22 11.35.39	JA	Kvinna	40-49	Gymnasieutbildning	Arbetande	200.000-300.000	2.0	4.0	2.0	2.0	2.0	2.0	2.0	5.0	5.0	4.0	5.0	6.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 06.21.30	JA	Kvinna	50-59	Mastersexamen	Arbetande	500.000-600.000	7.0	7.0	7.0	7.0	3.0	3.0	5.0	4.0	4.0	4.0	3.0	7.0	7.0	7.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0
control.tsv	2023-03-24 08.09.58	JA	Kvinna	19-29	Gymnasieutbildning	Arbetande	200.000-300.000	3.0	3.0	2.0	2.0	2.0	2.0	2.0	6.0	6.0	5.0	6.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 12.59.52	JA	Man	30-39	Mastersexamen	Arbetande	500.000-600.000	7.0	7.0	7.0	7.0	4.0	4.0	5.0	4.0	4.0	6.0	4.0	7.0	7.0	7.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 13.03.09	JA	Icke-binär	19-29	Gymnasieutbildning	Student	100.000-200.000	5.0	5.0	7.0	3.0	3.0	3.0	4.0	4.0	1.0	4.0	3.0	7.0	7.0	7.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 13.22.34	JA	Kvinna	30-39	Gymnasieutbildning	Arbetande	300.000-400.000	4.0	6.0	2.0	2.0	2.0	2.0	1.0	7.0	7.0	7.0	7.0	6.0	6.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 14.33.49	JA	Man	40-49	Kandidatexamen	Arbetande	400.000-500.000	7.0	7.0	7.0	7.0	3.0	3.0	5.0	5.0	3.0	3.0	1.0	7.0	7.0	7.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
control.tsv	2023-03-24 14.36.20	JA	Kvinna	40-49	Kandidatexamen	Arbetande	400.000-500.000	7.0	7.0	7.0	7.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	7.0	7.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
control.tsv	2023-03-24 14.39.25	JA	Man	30-39	Gymnasieutbildning	Arbetande	300.000-400.000	5.0	7.0	6.0	6.0	2.0	2.0	4.0	3.0	3.0	3.0	3.0	7.0	7.0	7.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0
treatment.tsv	2023-03-03 08.51.31	JA	Kvinna	50-59	Kandidatexamen	Pensionär	400.000-500.000	7.0	7.0	4.0	4.0	4.0	3.0	4.0	7.0	6.0	6.0	5.0	7.0	7.0	7.0	5.0	5.0	5.0	5.0	2.0	4.0	4.0	4.0	4.0	3.0
